REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
Massachusetts,2024,42,1858,6,0,0.32,0.32,0
Michigan,2024,42,507,4,0,0.79,0.79,0
Minnesota,2024,42,1570,7,2,0.57,0.45,0.13
Mississippi,2024,42,222,1,8,4.05,0.45,3.6
Missouri,2024,42,3149,6,1,0.22,0.19,0.03
Montana,2024,42,377,2,0,0.53,0.53,0
Nebraska,2024,42,1261,5,1,0.48,0.4,0.08
Nevada,2024,42,667,19,1,3,2.85,0.15
New Hampshire,2024,42,X,X,X,X,X,X
New Jersey,2024,42,640,3,0,0.47,0.47,0
New Mexico,2024,42,3203,21,8,0.91,0.66,0.25
New York,2024,42,3226,8,1,0.28,0.25,0.03
North Carolina,2024,42,2871,7,0,0.24,0.24,0
North Dakota,2024,42,259,0,0,0,0,0
Ohio,2024,42,6877,14,2,0.23,0.2,0.03
Oklahoma,2024,42,529,1,0,0.19,0.19,0
Oregon,2024,42,1979,17,3,1.01,0.86,0.15
Pennsylvania,2024,42,1231,3,0,0.24,0.24,0
Rhode Island,2024,42,X,X,X,X,X,X
South Carolina,2024,42,330,3,1,1.21,0.91,0.3
South Dakota,2024,42,X,X,X,X,X,X
Tennessee,2024,42,20,0,0,0,0,0
Texas,2024,42,5211,68,5,1.4,1.3,0.1
Utah,2024,42,X,X,X,X,X,X
Vermont,2024,42,413,5,1,1.45,1.21,0.24
Virginia,2024,42,1265,5,0,0.4,0.4,0
Washington,2024,42,2540,32,4,1.42,1.26,0.16
West Virginia,2024,42,1033,5,0,0.48,0.48,0
Wisconsin,2024,42,7788,19,5,0.31,0.24,0.06
Wyoming,2024,42,X,X,X,X,X,X
Puerto Rico,2024,42,X,X,X,X,X,X
Virgin Islands,2024,42,X,X,X,X,X,X
New York City,2024,42,X,X,X,X,X,X
Alabama,2024,43,313,1,0,0.32,0.32,0
Alaska,2024,43,X,X,X,X,X,X
Arizona,2024,43,350,9,0,2.57,2.57,0
Arkansas,2024,43,459,1,5,1.31,0.22,1.09
California,2024,43,11158,183,10,1.73,1.64,0.09
Colorado,2024,43,1168,10,0,0.86,0.86,0
Connecticut,2024,43,1755,17,5,1.25,0.97,0.28
