AREA,SUB AREA,AGE GROUP,SEASON,WEEK,PERCENT I,PERCENT P&I,PERCENT PIC,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,NUM COVID-19 DEATHS,TOTAL PIC,TOTAL DEATHS,PERCENT COMPLETE
State,Florida,All,2023-24,28,,7.2,8.1,5,285,81,327,"4,054",> 100%
State,Florida,All,2023-24,29,,6.7,8.1,9,247,100,309,"3,823",> 100%
State,Florida,All,2023-24,30,,7.2,8.3,1,280,108,327,"3,918",> 100%
State,Florida,All,2023-24,31,,7.2,8.9,5,290,133,365,"4,121",> 100%
State,Florida,All,2023-24,32,,7.2,8.4,4,300,118,358,"4,244",> 100%
State,Florida,All,2023-24,33,,7.3,8.6,5,309,120,371,"4,307",> 100%
State,Florida,All,2023-24,34,,7.1,8.3,6,287,110,340,"4,101",> 100%
State,Florida,All,2023-24,35,,6.8,8.2,7,277,116,344,"4,177",> 100%
State,Florida,All,2023-24,36,,6.5,7.6,5,270,94,323,"4,243",> 100%
State,Florida,All,2023-24,37,,6.5,7.3,6,268,83,304,"4,189",> 100%
State,Florida,All,2023-24,38,,6.3,7.2,5,259,70,302,"4,213",> 100%
State,Florida,All,2023-24,39,,6.7,7.5,4,274,72,308,"4,134",> 100%
State,Georgia,All,2023-24,40,,5.5,6.7,2,97,42,120,"1,785",> 100%
State,Georgia,All,2023-24,41,,3.9,4.7,1,69,19,84,"1,798",> 100%
State,Georgia,All,2023-24,42,,4.4,5.3,3,75,26,94,"1,784",> 100%
State,Georgia,All,2023-24,43,,5,6.2,1,90,33,113,"1,828",> 100%
State,Georgia,All,2023-24,44,,4.4,5.3,2,75,28,93,"1,769",> 100%
State,Georgia,All,2023-24,45,,5.1,6.3,4,89,32,114,"1,824",> 100%
State,Georgia,All,2023-24,46,,4.9,5.5,2,87,24,100,"1,830",> 100%
State,Georgia,All,2023-24,47,,4.5,5.7,5,77,26,103,"1,809",> 100%
State,Georgia,All,2023-24,48,,5,6,8,87,31,114,"1,897",> 100%
State,Georgia,All,2023-24,49,,5,5.7,7,92,25,114,"2,000",> 100%
State,Georgia,All,2023-24,50,,5.3,6.2,11,94,29,123,"1,992",> 100%
State,Georgia,All,2023-24,51,,5.5,6.5,16,98,29,133,"2,060",> 100%
State,Georgia,All,2023-24,52,,8.2,9.7,36,135,55,203,"2,095",> 100%
State,Georgia,All,2023-24,1,,9.1,10.7,38,157,59,229,"2,136",> 100%
State,Georgia,All,2023-24,2,,8.5,10,32,158,78,225,"2,242",> 100%
State,Georgia,All,2023-24,3,,8.6,10.7,33,156,74,234,"2,194",> 100%
State,Georgia,All,2023-24,4,,8.2,10,30,141,68,210,"2,096",> 100%
State,Georgia,All,2023-24,5,,6.3,7.8,13,111,45,152,"1,954",> 100%
State,Georgia,All,2023-24,6,,6,7.3,16,104,49,147,"2,006",> 100%
State,Georgia,All,2023-24,7,,6.1,7.2,13,108,40,142,"1,973",> 100%
State,Georgia,All,2023-24,8,,5.7,7.3,5,110,55,147,"2,001",> 100%
State,Georgia,All,2023-24,9,,6.1,7.5,7,104,54,138,"1,830",> 100%
State,Georgia,All,2023-24,10,,5.9,7.7,4,107,49,145,"1,884",> 100%
State,Georgia,All,2023-24,11,,6.4,7.9,5,114,50,147,"1,853",> 100%
State,Georgia,All,2023-24,12,,5.9,7.3,3,99,38,127,"1,739",> 100%
State,Georgia,All,2023-24,13,,5,6.3,5,89,34,118,"1,866",> 100%
State,Georgia,All,2023-24,14,,5.1,6,1,94,24,112,"1,881",> 100%
State,Georgia,All,2023-24,15,,6.5,7.1,2,117,20,130,"1,829",> 100%
State,Georgia,All,2023-24,16,,4.5,4.8,2,80,16,88,"1,824",> 100%
